id,Location,Sex,TA,EDL,Gastroc,Soleus,Tibia,Mode,thick,delta_thick,thick_log,Thickness
87,PSU,M,39,7.7,95.1,4.7,15.97,146,14.033,18.265,1.147150525,1.136845313
88,PSU,M,53.9,,120.1,8.1,16.92,130,14.02,12.166,1.146748014,1.135792153
89,PSU,M,50.1,8.8,117.1,6.5,16.91,142,17.978,15.113,1.254741376,1.456438754
90,PSU,M,54.1,,126.2,9.5,17.49,146,14.021,16.425,1.146778989,1.135873166
91,PSU,M,44.8,8.4,110.8,5.5,16.12,135,20.023,17.083,1.301529147,1.622108865
92,PSU,M,47.9,9.4,112.4,6.9,,142,16,14.425,1.204119983,1.296196466
93,PSU,M,46.9,10,112.4,6.1,16.93,162,13.433,20.94,1.128173015,1.088237945
94,PSU,M,37.8,6.4,76.6,4,16.49,126,14.56,20.896,1.163161375,1.179538784
95,PSU,M,55,9.6,122.1,6.4,17.26,,,,,
96,PSU,M,43.9,8.6,118.1,5.7,16.66,144,12.035,18,1.080446095,0.974982779
101,UoA,M,53.3,10.1,128.2,,17.35,152,12,13.396,1.079181246,0.97214735
102,UoA,M,53.2,9.6,124.7,8.2,16.52,152,13.996,14,1.146003934,1.133847859
103,UoA,M,48.9,8.8,107.5,8,16.87,144,13.976,13.834,1.145382892,1.132227613
104,UoA,M,46.7,8.7,106.5,6.8,17.26,149,19.982,16.433,1.300638955,1.618787361
105,UoA,M,49.8,8.6,111.7,7.1,16.95,136,13.996,14,1.146003934,1.133847859
106,UoA,M,49,9.3,125.4,6.8,17.01,138,11.996,15.307,1.079036457,0.9718233
107,UoA,M,46.3,8.4,113.6,7.1,16.52,152,12.043,22,1.080734686,0.975630878
108,UoA,M,46.2,8.4,108,6.3,16.23,147,14.139,19.824,1.150418694,1.145432615
109,UoA,M,58.5,10.2,129.6,9.6,17.28,155,13.996,14,1.146003934,1.133847859
110,UoA,M,51.8,10.6,123.4,8.3,17.22,137,16.031,16,1.204960614,1.298707847
111,UoA,M,39.9,8.4,106.2,6.5,16.57,140,18.007,16.077,1.255441365,1.45878811
112,UoA,M,59.4,11.1,138.7,8.2,17.29,149,13.976,16.259,1.145382892,1.132227613
113,UoA,M,41,7.9,94.9,7,16.9,144,14.011,17.88,1.146469133,1.135063043
114,UoA,M,42.6,8.9,99.4,7.6,16.91,146,14.022,15.414,1.146809963,1.135954178
